source,target
上海避风塘食品有限公司,上海龙辉餐饮管理有限公司南方商城店,4.0
上海日永华英食品有限公司,上海奉贤大润发商贸有限公司,2775.0
上海澳菲利食品销售有限公司,牧羊传奇,8.0
上海双汇大昌有限公司上海分公司,保定市金石食品有限公司,10.0
上海艺杏食品有限公司,闵行交大（H  C）-M,31.0
上海德丰食品工业有限公司,杭州鸿福食品有限公司,14.0
上海六和勤强食品有限公司（交通路）,上海浦众农贸市场经营管理有限公司,16.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司同乐餐厅,8.0
上海爱樱食品有限公司,上海龙辉餐饮管理有限公司淀山湖大道店,4.0
上海旭洋绿色食品有限公司,农工商40专卖,23.0
上海紫燕食品有限公司,嘉定区南翔镇梅刚熟食店,3.0
上海花冠营养乳品有限公司,信阳市加加爱孕婴连锁店,8.0
上海清美绿色食品有限公司,青浦公园东路（家乐福）,11.0
ZRID-上海六和勤强食品有限公司,上海联家超市有限公司曹路店,16.0
上海清美绿色食品有限公司,吉买盛秦桥路食堂,4.0
上海经泰油脂有限公司,布勒食品制造,1.0
上海艺杏食品有限公司,欧尚(金山店)--134,25.0
上海汉康豆类食品有限公司,白鹿,26.0
上海欣晨豆业有限公司,庙前街菜市场,31.0
上海德丰食品工业有限公司,淮安天恩（鲁庆涛）,5.0
上海艺杏食品有限公司,茸南农贸市场（孟伟）（加盟）,31.0
上海汉康豆类食品有限公司,桂东菜市场,17.0
上海清美绿色食品有限公司,宝山共江店(沃尔玛),42.0
上海清美绿色食品有限公司,崇明人民店(华联供销),26.0
上海缘源食品有限公司,上海澳莉嘉食品有限公司宝山分公司,7.0
上海适达餐饮管理有限公司冰淇淋加工厂,松江万达,26.0
上海强丰果蔬种植专业合作社,金山区看守所食堂,118.0
上海锐洲粮油有限公司,上海迪优食品有限公司,1.0
上海花冠营养乳品有限公司,苏州高新区枫桥玉琪母婴生活馆,3.0
上海清美绿色食品有限公司,瑞丽42(农工商),63.0
艾狄士食品（上海）有限公司,武汉新城国际武汉洲际酒店,3.0
上海清美绿色食品有限公司,金山任群双食品店加盟超市（预付1）,31.0
8652-上海南浦食品公司浦东分公司,上海联家超市有限公司徐汇店,11.0
甄味国际（上海）贸易有限公司,上海龙辉餐饮管理有限公司大华店,24.0
上海万有全豆制品有限公司奉贤分公司,家得利西康店,31.0
上海旭洋绿色食品有限公司,上海奉贤大润发商贸有限公司,1847.0
广西田林和平糖业有限公司,上海光茂食品有限公司第一分公司,1.0
上海花冠营养乳品有限公司,商丘市明权县老颜集乡秦勇奶粉超市,19.0
江苏射阳县沈氏米业有限公司,上海江杨农产品物流有限公司,1.0
大连泰和伟业经贸发展有限公司,上海荷美尔食品有限公司,63.0
上海冯达豆类食品有限公司,东兰路151#,27.0
YSJE-北京湖西岛有机农业发展有限公司,上海联家超市有限公司中山公园店,23.0
上海龙上农副产品批发市场经营管理有限公司,长宁区大饼油条,1.0
文登荣记果蔬贸易商社,上海联家超市有限公司南翔店,18.0
上海双汇大昌有限公司上海分公司,上海康膳坊食品有限公司,68.0
小李肉类经营部,上海常兴食府,62.0
ZVKL-中粮食品营销有限公司上海分公司,上海联家超市有限公司友谊南方商城店,3.0
上海展鹏食品有限公司,上海荣创集贸市场经营管理有限公司戬浜分公司,1.0
上海越哲食品有限公司,济宁愈善堂无糖食品店,12.0
芜湖双汇食品有限公司,上海山林食品有限公司,1.0
上海市嘉定区江桥镇小仇粮食经营部,上海龙上农副产品批发市场经营管理有限公司,44.0
上海西郊国际农产品交易有限公司,上海荣轩果蔬有限公司,2.0
ZPV0-益海嘉里食品营销有限公司,上海联家超市有限公司青浦漕盈店,4.0
YZ9H-贝因美（上海）现代商超营销有限公司,上海联家超市有限公司共江店,9.0
上海欧源豆类食品有限公司,农贸市场,22.0
上海市松江区九亭镇金隆家禽销售部,望赤（上海）餐饮管理有限公司正大广场分公司,6.0
上海紫燕食品有限公司,上海市普陀区富兵熟食店,3.0
上海鼑丰酿造食品有限公司,上海金文食品有限公司,1.0
上海艺杏食品有限公司,龙泉农贸市场58号(唐金梅),32.0
上海文畅食品有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,23.0
甲芝生物科技股份有限公司,上海日生食品物流有限公司,1.0
江苏海创农产品开发有限公司,上海肯德基有限公司泗宝餐厅,34.0
上海双汇大昌有限公司上海分公司,广德宏发商贸有限公司,6.0
上海东辉食品有限公司,特易购商业（上海）有限公司周浦分公司,23.0
上海强丰果蔬种植专业合作社,朱泾镇人民政府食堂,78.0
福建新恩源食品有限公司,上海新欧尚超市有限公司嘉定店,1.0
鼎香帅（上海）餐饮企业管理有限公司,鼎香帅（上海）餐饮企业管理有限公司曹杨路分公司,66.0
上海斗品膳食品有限公司,乌鲁木齐致尚一品餐饮管理有限公司,7.0
广州安城人参有限公司,上海龙辉餐饮管理有限公司闸北大悦城店,6.0
上海清美绿色食品有限公司,新二路二店499(伍缘),23.0
上海艺杏食品有限公司,美天长支菜市场2号(邵先锋)（散户）,31.0
广州丸龙维记有限公司,上海日生食品物流有限公司,1.0
中储粮（上海）米业有限责任公司,欧尚（中国）投资有限公司,3.0
上海华润五丰营销有限公司,上海易买得超市有限公司南桥店,14.0
上海清美绿色食品有限公司,瑞虹专柜(易买得),33.0
上海万有全豆制品有限公司,上海高跃农贸市场经营管理有限公司,22.0
上海力德尔食品有限公司,长春路,1.0
西郊国际农产品交易中心,上海盛怡农副产品市场经营管理有限公司,79.0
上海市普陀区永斌活海鲜店,上海悦盈餐饮管理有限公司青浦分公司,84.0
海南瑞今肉类食品有限公司上海分公司,上海环盛商业有限公司黄浦大时代第四分公司,107.0
1682山东鲁花集团商贸有限公司上海分公司,上海家得利超市有限公司,3.0
上海花冠营养乳品有限公司,阜南县黄岗乐乐奶粉便利店（河南信阳加加爱客户）,20.0
上海华晨食品有限公司,北京新华空港航空食品有限公司,15.0
上海清美绿色食品有限公司,航东187(伍缘折扣超市),32.0
上海洪场电子商务有限公司,上海龙辉餐饮管理有限公司大宁国际广场店,21.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司丽园餐厅,34.0
益海(广汉)粮油饲料有限公司,上海京家粮油有限公司,1.0
上海爱凡食品有限公司,志富调味品商行,1.0
加拿大海鲜渔业有限公司,上海怀乾贸易有限公司,1.0
上海意华食品有限公司,广州康智贸易有限公司,3.0
上海秦丰果果品有限公司周至分公司,上海联家超市有限公司真北店,1.0
领先食品（上海）发展有限公司,上海加工厂内部,13.0
上海意华食品有限公司,华润万家温州万象城OLE,1.0
南京新品友食品有限公司,上海欧尚超市有限公司闵行店,1.0
上海清美绿色食品有限公司,南翔农贸市场（预付）,32.0
上海铜川水产市场经营管理有限公司,上海永昌高陵市场,114.0
张小宝,上海江杨农产品物流有限公司,1.0
上海长生食品有限公司,大润发怀远店,1.0
上海展鲜食品销售有限公司普陀分公司,上海龙辉餐饮管理有限公司荣乐西路店,4.0
东台市鑫丰米厂,上海凯红食品市场经营管理有限公司,2.0
YSJE-北京湖西岛有机农业发展有限公司,上海联家超市有限公司万达店,47.0
上海双汇大昌有限公司上海分公司,株洲鑫果供应链管理有限公司,117.0
上海艺杏食品有限公司,南通怡园农贸市场（王志清）,31.0
永康市姥姥豆制品有限公司,上海玉峰食品有限公司,1.0
上海花冠营养乳品有限公司,方城三洋奶粉连锁店,9.0
上海聚合食品有限公司,贺春生熟食店,6.0
上海花冠营养乳品有限公司,连江县马鼻镇纯正牛奶店,14.0
山林公司,上海三角地菜市场经营管理有限公司广中路分场,4.0
上海清美绿色食品有限公司,贝港市场豆制品（专卖加盟）,32.0
浙江景明果品有限公司,上海新欧尚超市有限公司金都路店,79.0
上海少野商贸有限公司,上海秋冬食品有限公司,284.0
杭州丘比食品有限公司（中日合资）,上海日生食品物流有限公司,1.0
上海旭洋绿色食品有限公司,上海永昌高陵市场,29.0
上海雨润肉食品有限公司,上海红林农副产品市场经营管理有限公司,29.0
金华市南果食品贸易有限公司,上海金文食品有限公司,1.0
艾狄士食品（上海）有限公司,上海峰二食品有限公司,4.0
纽迪希亚生命早期营养品管理（上海）有限公司,康成投资（中国）有限公司,70.0
上海均民商贸有限公司(生鲜),上海联华超市发展有限公司 - 系统,1792.0
青浦赵巷开荣小五金店,上海龙汇爱嚼餐饮有限公司,3.0
上海清美绿色食品有限公司,沪松肉品加盟 许兵（预付1）,28.0
上海轩尧食品有限公司,上海家得利超市有限公司花木店,36.0
